id_user,date,hours,id_item,price,qty
L17850D,2010/12/01,08:00,85123A,3.0,7
L17850D,2010/12/01,08:00,71053,3.0,7
L17850D,2010/12/01,08:00,84406B,3.0,10
L17850D,2010/12/01,08:00,84029G,3.0,7
L17850D,2010/12/01,08:00,84029E,3.0,7
L17850D,2010/12/01,08:00,22752,8.0,4
L17850D,2010/12/01,08:00,21730,4.0,7
L17850D,2010/12/01,08:00,22633,2.0,7
L17850D,2010/12/01,08:00,22632,2.0,7
L13047D,2010/12/01,08:00,84879,2.0,34
L13047D,2010/12/01,08:00,22745,2.0,7
L13047D,2010/12/01,08:00,22748,2.0,7
L13047D,2010/12/01,08:00,22749,4.0,10
L13047D,2010/12/01,08:00,22310,2.0,7
L13047D,2010/12/01,08:00,84969,4.0,7
L13047D,2010/12/01,08:00,22623,5.0,4
L13047D,2010/12/01,08:00,22622,10.0,4
L13047D,2010/12/01,08:00,21754,6.0,4
L13047D,2010/12/01,08:00,21755,6.0,4
L13047D,2010/12/01,08:00,21777,8.0,4
L13047D,2010/12/01,08:00,48187,8.0,4
L13047D,2010/12/01,08:00,22960,4.0,7
L13047D,2010/12/01,08:00,22913,5.0,4
L13047D,2010/12/01,08:00,22912,5.0,4
L13047D,2010/12/01,08:00,22914,5.0,4
L13047D,2010/12/01,08:00,21756,6.0,4
L12583D,2010/12/01,08:00,22728,4.0,25
L12583D,2010/12/01,08:00,22727,4.0,25
L12583D,2010/12/01,08:00,22726,4.0,13
L12583D,2010/12/01,08:00,21724,1.0,13
L12583D,2010/12/01,08:00,21883,1.0,25
L12583D,2010/12/01,08:00,10002,1.0,49
L12583D,2010/12/01,08:00,21791,1.0,25
L12583D,2010/12/01,08:00,21035,3.0,19
L12583D,2010/12/01,08:00,22326,3.0,25
L12583D,2010/12/01,08:00,22629,2.0,25
L12583D,2010/12/01,08:00,22659,2.0,25
L12583D,2010/12/01,08:00,22631,2.0,25
L12583D,2010/12/01,08:00,22661,1.0,22
L12583D,2010/12/01,08:00,21731,2.0,25
L12583D,2010/12/01,08:00,22900,3.0,25
L12583D,2010/12/01,08:00,21913,4.0,13
L12583D,2010/12/01,08:00,22540,0.0,25
L12583D,2010/12/01,08:00,22544,0.0,25
L12583D,2010/12/01,08:00,22492,1.0,37
L12583D,2010/12/01,08:00,POST,18.0,4
L13748D,2010/12/01,09:00,22086,3.0,75
L17850D,2010/12/01,09:00,22632,2.0,7
L17850D,2010/12/01,09:00,22633,2.0,7
L17850D,2010/12/01,09:00,85123A,3.0,7
L17850D,2010/12/01,09:00,71053,3.0,7
L17850D,2010/12/01,09:00,84406B,3.0,10
L17850D,2010/12/01,09:00,20679,5.0,7
L17850D,2010/12/01,09:00,37370,1.0,7
L17850D,2010/12/01,09:00,21871,1.0,7
L17850D,2010/12/01,09:00,21071,1.0,7
L17850D,2010/12/01,09:00,21068,1.0,7
L17850D,2010/12/01,09:00,82483,5.0,4
L17850D,2010/12/01,09:00,82486,7.0,4
L17850D,2010/12/01,09:00,82482,2.0,7
L17850D,2010/12/01,09:00,82494L,3.0,7
